@RELATION tweets

@ATTRIBUTE tweet string
@ATTRIBUTE class {0,1}

@DATA
%
% Instances
%
'Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–201… ', 0
'Tem dias que a bad bate forte e a auto-estima fica em pedacinhos espalhada pelo chão. 😪 Não se culpe por ter dias… ', 0
'Bad Boys 3 - Will Smith compartilha vídeo dos bastidores e anuncia encerramento das filmagens!&gt;&gt;… ', 0
'@am4nsa Tenho um puta mal costume de querer fazer coisas que pessoas que eu gosto vão fazer simplesmente pra me sen… ', 0
'ouvir 1d me deixa na maior bad por saudades da minha bandinha', 0
'RT @humorizey_: Najila: eu fui estuprada tenho video e tudo Delegada: cadê o video?Najila:#LADRAOLIBERAOVIDEO ', 0
'O twitter tem a incrível função de me deixar mais feliz nos dias de bad', 0
'@Haddad_Fernando Breaking bad é, disparado a melhor série que já assisti. Aqui tá Cheio de minions dando palpite, s… ', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'RT @lexotasx: to na bad ninguem me quer no momento', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'Bad acordar cedo', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'RT @daianapriscila: Eu: Eu não aguento mais notícias do caso Neymar e Najila5 min depois:Najila diz que vídeo completo estava em tablet…', 0
'RT @ama_nada1: Najira contando para os policiais que o tablet foi roubado#LADRAOLIBERAOVIDEOOs policiais... ', 0
'Ai, que bad de música 🥺 amei kkkk ', 0
'RT @iludidadevez:  fui estuprada agredida na bundaEle me deixou sozinhaN foi o Neymar que me apaixoneiTem 4 de mim   gravei…', 0
'Certeza que o livro que tem na cabeceira da najila é Gone Girl #LADRAOLIBERAOVIDEO', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'1. Teve festa ontem2. Eu não quis ir pq tava bad3. Hoje acordei arrependida', 0
'Vi duas madrinhas entrando num casamento com a placa: Procura-se padrinho. Não sei se o desespero é pela busca po… ', 0
'olha eu lidando bem com as bad e finalmente sabendo aceitar algumas coisas obrigada tratamento', 0
'Bateu a bad aqui', 0
'@dsathrin @yasysminn eu tb n, só escuto quando to na extrema bad é esse ano eu ainda não tive esse problema', 0
'RT @OiiMeninas_: eu depois da bad ', 0
'check depois mate, nos vive forte se nao a bad bate', 0
'RT @romadwar: au romadanvers | bad guynatasha e carol se odeiam: elas costumavam se esconder entre as paredes do internato marvel para bei…', 0
'@difendi5o0 Sério? Meee que bad', 0
'RT @romadwar: au romadanvers | bad guynatasha e carol se odeiam: elas costumavam se esconder entre as paredes do internato marvel para bei…', 0
